Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,190597409,2445.26810076653,3427304,43.97057224859511,427576,4093145,52.512974614004435,56567,0.7257259234623727,7145,
United States of America,Americas,33723155,10188.18,208209,62.9,0,603790,182.41,1846,0.56,0,Community transmission
India,South-East Asia,31144229,2256.82,269853,19.55,38164,414108,30.01,5344,0.39,499,Clusters of cases
Brazil,Americas,19342448,9099.78,273445,128.64,34339,541266,254.64,8373,3.94,868,Community transmission
Russian Federation,Europe,5982766,4099.63,174293,119.43,24633,149138,102.2,5426,3.72,719,Clusters of cases
France,Europe,5749620,8840.22,50723,77.99,12523,110497,169.89,121,0.19,5,Community transmission
Turkey,Europe,5529719,6556.53,48164,57.11,7680,50554,59.94,325,0.39,66,Community transmission
The United Kingdom,Europe,5433943,8004.51,312694,460.62,47599,128708,189.59,283,0.42,25,Community transmission
Argentina,Americas,4749443,10508.6,110345,244.15,12230,101434,224.43,2933,6.49,276,Community transmission
Colombia,Americas,4621260,9082.15,128723,252.98,19925,115831,227.64,3533,6.94,498,Community transmission
Spain,Europe,4492066,9490.42,71798,151.69,0,82082,173.42,30,0.06,0,Community transmission
Italy,Europe,4287458,7188.72,16182,27.13,3126,127867,214.39,92,0.15,3,Clusters of cases
Germany,Europe,3745227,4503.28,8738,10.51,546,91363,109.86,130,0.16,1,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3523263,4194.71,149813,178.36,22184,87161,103.77,1302,1.55,195,Community transmission
Indonesia,South-East Asia,2911733,1064.53,344103,125.8,34257,74920,27.39,7565,2.77,1338,Community transmission
Poland,Europe,2881491,7591.23,626,1.65,67,75215,198.15,55,0.14,0,Community transmission
Mexico,Americas,2654699,2058.98,67978,52.72,12631,236240,183.23,1333,1.03,225,Community transmission
South Africa,Africa,2295095,3869.74,99496,167.76,11215,66859,112.73,2570,4.33,183,Community transmission
Ukraine,Europe,2244677,5132.6,3460,7.91,182,52731,120.57,127,0.29,5,Community transmission
Peru,Americas,2092125,6345.18,13310,40.37,1950,195047,591.56,798,2.42,112,Community transmission
Netherlands,Europe,1798570,10332.11,70366,404.23,10247,17776,102.12,10,0.06,1,Community transmission
Czechia,Europe,1671145,15627.03,1649,15.42,118,30338,283.69,7,0.07,0,Community transmission
Chile,Americas,1599879,8369.23,12401,64.87,1398,34514,180.55,637,3.33,111,Community transmission
Philippines,Western Pacific,1507755,1375.93,34892,31.84,5411,26714,24.38,799,0.73,116,Community transmission
Iraq,Eastern Mediterranean,1491712,3708.65,62350,155.01,8698,17830,44.33,282,0.7,41,Community transmission
Canada,Americas,1422918,3770.1,2640,6.99,277,26492,70.19,64,0.17,3,Community transmission
Bangladesh,South-East Asia,1117310,678.43,82353,50.01,13321,18125,11.01,1486,0.9,231,Community transmission
Belgium,Europe,1103413,9576.21,5195,45.09,0,25209,218.78,4,0.03,0,Community transmission
Sweden,Europe,1094287,10595.76,1515,14.67,0,14646,141.81,1,0.01,0,Community transmission
Romania,Europe,1081678,5596.19,403,2.08,46,34254,177.22,20,0.1,1,Community transmission
Pakistan,Eastern Mediterranean,989275,447.85,15991,7.24,2607,22781,10.31,199,0.09,21,Community transmission
Portugal,Europe,930685,9039.37,22711,220.58,3261,17207,167.12,51,0.5,8,Clusters of cases
Malaysia,Western Pacific,916561,2831.86,80265,247.99,10710,7019,21.69,861,2.66,153,Community transmission
Israel,Europe,852176,9845.44,5127,59.23,351,6450,74.52,9,0.1,0,Community transmission
Japan,Western Pacific,841537,665.37,20822,16.46,3105,15048,11.9,93,0.07,8,Clusters of cases
